session_id,customer_id,customer_email,customer_segment,cart_value,items_count,abandoned_at_step,timestamp,do_not_contact
sess_2ace1aa910,cust_2212,cust.2212@company.in,retail,11607.41,6,review,2026-09-04T12:00:00,false
sess_5c56d9bc51,cust_7390,cust.7390@gmail.com,smb,4525.46,7,confirm,2026-09-04T12:00:00,false
sess_9dd43675ef,cust_4666,cust.4666@company.in,enterprise,7889.97,6,payment_info,2026-08-29T12:00:00,false
sess_026b5383a3,cust_9362,cust.9362@yahoo.com,retail,25604.65,1,confirm,2026-08-30T12:00:00,false
sess_0f79a8a75f,cust_8672,cust.8672@biz.co.in,smb,9449.67,8,address,2026-08-28T12:00:00,false
sess_d6b361e43b,cust_5981,cust.5981@gmail.com,retail,18953.14,10,review,2026-09-02T12:00:00,false
sess_6346d4ef69,cust_2506,cust.2506@gmail.com,enterprise,19766.84,4,address,2026-08-26T12:00:00,false
sess_b4299924c0,cust_2361,cust.2361@gmail.com,enterprise,22007.23,4,address,2026-09-02T12:00:00,false
sess_901bcdefb5,cust_8891,cust.8891@outlook.com,retail,13367.44,6,payment_info,2026-08-29T12:00:00,false
sess_fc9e1dcbcb,cust_5382,cust.5382@outlook.com,smb,26653.22,6,confirm,2026-08-24T12:00:00,false
sess_b6d1f6bbf4,cust_5510,cust.5510@gmail.com,retail,16027.9,8,payment_info,2026-08-31T12:00:00,false
sess_3f2086c2f1,cust_9061,cust.9061@company.in,retail,16310.84,7,address,2026-09-01T12:00:00,false
sess_45d8a6ad77,cust_5093,cust.5093@yahoo.com,smb,24370.01,2,payment_info,2026-08-26T12:00:00,false
sess_bdab07e79d,cust_6285,cust.6285@biz.co.in,enterprise,9796.32,2,confirm,2026-08-27T12:00:00,false
sess_a65f7b8adb,cust_8326,cust.8326@gmail.com,retail,20509.2,6,payment_info,2026-08-31T12:00:00,false
sess_2999394c54,cust_4562,cust.4562@company.in,enterprise,9875.82,8,address,2026-09-02T12:00:00,false
sess_6f14b3f6d8,cust_1870,cust.1870@outlook.com,enterprise,16888.9,6,address,2026-09-03T12:00:00,false
sess_081fc6dc78,cust_5970,cust.5970@outlook.com,enterprise,28026.3,5,confirm,2026-09-02T12:00:00,false
sess_6c93a7918b,cust_1630,cust.1630@biz.co.in,smb,13815.63,1,address,2026-09-01T12:00:00,false
sess_2e0fb5b38b,cust_2032,cust.2032@biz.co.in,smb,16111.41,8,review,2026-09-04T12:00:00,true
sess_265cb9d989,cust_6168,cust.6168@yahoo.com,enterprise,16040.51,3,confirm,2026-09-01T12:00:00,false
sess_fa3c162889,cust_9322,cust.9322@outlook.com,smb,24563.08,2,address,2026-08-30T12:00:00,false
sess_682b163a28,cust_7814,cust.7814@company.in,enterprise,1937.34,10,review,2026-08-31T12:00:00,false
sess_efc597382f,cust_7755,cust.7755@outlook.com,enterprise,9838.84,4,confirm,2026-08-26T12:00:00,false
sess_8d93e14a5b,cust_5280,cust.5280@company.in,smb,5588.11,9,payment_info,2026-08-22T12:00:00,true
sess_4b86b5a1ca,cust_1916,cust.1916@biz.co.in,smb,26417.82,7,review,2026-08-29T12:00:00,false
sess_23c8afdb83,cust_5655,cust.5655@outlook.com,enterprise,3967.07,9,confirm,2026-08-22T12:00:00,false
sess_0d259caab8,cust_5308,cust.5308@biz.co.in,smb,18834.63,9,address,2026-08-23T12:00:00,false
sess_772420411e,cust_2467,cust.2467@outlook.com,enterprise,12524.75,6,address,2026-08-30T12:00:00,false
sess_8f7c1d5959,cust_2759,cust.2759@outlook.com,smb,7133.7,9,payment_info,2026-08-23T12:00:00,false
sess_f2e6182801,cust_5105,cust.5105@company.in,retail,26916.07,3,confirm,2026-08-25T12:00:00,false
sess_04482a2203,cust_8842,cust.8842@biz.co.in,retail,8611.27,6,confirm,2026-08-26T12:00:00,false
sess_baeb286bf0,cust_1476,cust.1476@yahoo.com,enterprise,3658.74,4,confirm,2026-08-24T12:00:00,false
sess_b9aed8e4e6,cust_8052,cust.8052@gmail.com,enterprise,7090.22,1,review,2026-08-27T12:00:00,false
sess_423cad9d19,cust_5934,cust.5934@yahoo.com,smb,336.19,4,review,2026-09-01T12:00:00,false
sess_88cc4d4966,cust_4320,cust.4320@biz.co.in,smb,24383.33,7,confirm,2026-08-30T12:00:00,false
sess_fe1a1ba9c8,cust_2827,cust.2827@company.in,enterprise,22221.22,8,payment_info,2026-08-30T12:00:00,false
sess_8ac97b01e3,cust_5011,cust.5011@gmail.com,retail,9479.05,6,payment_info,2026-08-27T12:00:00,false
sess_62e7c1a612,cust_8322,cust.8322@biz.co.in,smb,18487.18,8,address,2026-08-25T12:00:00,false
sess_721e8b1f38,cust_4409,cust.4409@outlook.com,retail,5972.83,3,review,2026-08-25T12:00:00,false
sess_f6ee5cdb2d,cust_7563,cust.7563@company.in,enterprise,29911.07,2,address,2026-08-30T12:00:00,false
sess_7a768555a9,cust_7304,cust.7304@biz.co.in,retail,22181.05,1,confirm,2026-09-01T12:00:00,false
sess_ac2b0cfcc5,cust_2926,cust.2926@outlook.com,retail,305.28,5,payment_info,2026-09-04T12:00:00,false
sess_b2a6e468d0,cust_2162,cust.2162@company.in,enterprise,13937.05,10,review,2026-08-29T12:00:00,false
sess_2ced3c0d31,cust_2974,cust.2974@biz.co.in,enterprise,19652.82,10,payment_info,2026-09-04T12:00:00,false
sess_4a0d2b73fe,cust_6491,cust.6491@yahoo.com,retail,26090.79,3,payment_info,2026-08-23T12:00:00,false
sess_6afa828c2c,cust_7997,cust.7997@yahoo.com,retail,23815.36,9,address,2026-08-29T12:00:00,false
sess_614077d39e,cust_1619,cust.1619@outlook.com,smb,4717.9,6,confirm,2026-08-29T12:00:00,false
sess_2de46e91e8,cust_4992,cust.4992@gmail.com,smb,11637.73,6,payment_info,2026-09-01T12:00:00,false
sess_649f7d8889,cust_4323,cust.4323@biz.co.in,retail,5476.93,8,payment_info,2026-08-22T12:00:00,false
sess_0257185126,cust_9740,cust.9740@yahoo.com,smb,17120.12,2,address,2026-08-22T12:00:00,false
sess_d226a8b3b6,cust_4878,cust.4878@company.in,smb,27811.62,10,review,2026-08-30T12:00:00,true
sess_7490adeb57,cust_6340,cust.6340@yahoo.com,retail,22463.19,6,confirm,2026-09-01T12:00:00,false
sess_b113d50bde,cust_9943,cust.9943@company.in,smb,25125.53,4,payment_info,2026-08-23T12:00:00,true
sess_12b2102d94,cust_4314,cust.4314@gmail.com,smb,20718.26,9,payment_info,2026-09-02T12:00:00,false
sess_72f6095812,cust_2742,cust.2742@biz.co.in,smb,17930.33,10,address,2026-09-01T12:00:00,false
sess_92a81713b9,cust_8993,cust.8993@gmail.com,enterprise,17225.65,9,confirm,2026-08-26T12:00:00,false
sess_636f6e5c22,cust_5705,cust.5705@yahoo.com,enterprise,25464.38,5,confirm,2026-08-27T12:00:00,false
sess_479bc6378c,cust_3745,cust.3745@biz.co.in,smb,19011.95,10,review,2026-08-29T12:00:00,false
sess_669d01ff16,cust_6354,cust.6354@gmail.com,retail,1705.49,7,payment_info,2026-08-28T12:00:00,false
sess_2faabe0bb7,cust_2562,cust.2562@gmail.com,retail,21977.52,10,review,2026-08-29T12:00:00,false
sess_4b91b8cb6a,cust_9558,cust.9558@yahoo.com,retail,9467.24,1,address,2026-08-25T12:00:00,false
sess_42c2d2eb01,cust_2352,cust.2352@company.in,enterprise,22410.39,9,confirm,2026-08-29T12:00:00,false
sess_d8c128e7d6,cust_3131,cust.3131@gmail.com,smb,27118.11,1,address,2026-09-03T12:00:00,false
sess_66c14dca82,cust_5122,cust.5122@biz.co.in,retail,5173.93,2,address,2026-09-03T12:00:00,false
sess_4c61845efa,cust_7232,cust.7232@company.in,smb,18422.85,10,review,2026-08-26T12:00:00,false
sess_78308631b8,cust_5958,cust.5958@outlook.com,enterprise,9209.09,2,payment_info,2026-08-30T12:00:00,false
sess_ca5e151b23,cust_6119,cust.6119@gmail.com,smb,16143.99,1,address,2026-08-28T12:00:00,false
sess_eba742d29c,cust_9165,cust.9165@company.in,smb,20968.66,1,review,2026-08-30T12:00:00,false
sess_608e2f5c61,cust_5989,cust.5989@biz.co.in,enterprise,29480.89,6,confirm,2026-09-03T12:00:00,false
sess_261e255586,cust_8063,cust.8063@yahoo.com,enterprise,23662.34,9,confirm,2026-08-24T12:00:00,false
sess_501ba8515e,cust_4311,cust.4311@company.in,smb,15278.64,8,address,2026-08-27T12:00:00,false
sess_2775ee42a8,cust_6035,cust.6035@company.in,smb,18414.53,10,address,2026-09-03T12:00:00,false
sess_ec95b3ac0b,cust_5726,cust.5726@gmail.com,retail,545.76,1,payment_info,2026-09-02T12:00:00,false
sess_80a52e65af,cust_6644,cust.6644@outlook.com,smb,5243.81,6,address,2026-08-26T12:00:00,false
sess_4ccb235539,cust_3276,cust.3276@gmail.com,retail,19894.27,8,address,2026-08-27T12:00:00,false
sess_75366b9f32,cust_2740,cust.2740@gmail.com,enterprise,7918.09,1,confirm,2026-09-03T12:00:00,false
sess_8c32bdb2d4,cust_5792,cust.5792@biz.co.in,retail,29397.83,9,confirm,2026-08-24T12:00:00,false
sess_3818cfd338,cust_3555,cust.3555@yahoo.com,retail,22239.53,4,address,2026-08-26T12:00:00,false
sess_20f0156a1e,cust_2168,cust.2168@gmail.com,retail,10440.04,6,address,2026-08-30T12:00:00,false
sess_e4eb8000ef,cust_6203,cust.6203@gmail.com,enterprise,1078.6,6,payment_info,2026-08-29T12:00:00,false
sess_b35556a5f2,cust_9060,cust.9060@gmail.com,smb,777.98,1,payment_info,2026-08-27T12:00:00,true
sess_24f43c62b5,cust_9595,cust.9595@company.in,enterprise,6429.72,1,payment_info,2026-09-03T12:00:00,false
sess_711c767385,cust_8503,cust.8503@gmail.com,retail,7572.29,9,address,2026-08-31T12:00:00,false
sess_363908bf03,cust_8774,cust.8774@yahoo.com,enterprise,4245.47,3,address,2026-08-25T12:00:00,false
sess_f94d8fcbdb,cust_1510,cust.1510@gmail.com,smb,21126.21,7,payment_info,2026-08-25T12:00:00,false
sess_a42d0cd7fd,cust_4635,cust.4635@biz.co.in,smb,846.7,5,payment_info,2026-08-27T12:00:00,false
sess_378e65108f,cust_6307,cust.6307@company.in,retail,20637.91,6,address,2026-08-29T12:00:00,false
sess_c14565c75d,cust_8377,cust.8377@yahoo.com,retail,5679.81,1,confirm,2026-09-02T12:00:00,false
sess_b15948475c,cust_9589,cust.9589@yahoo.com,retail,2334.99,7,payment_info,2026-08-30T12:00:00,false
sess_ab7a3d1c0c,cust_1717,cust.1717@biz.co.in,retail,26230.08,4,payment_info,2026-09-03T12:00:00,false
sess_88ffbd403b,cust_3931,cust.3931@gmail.com,enterprise,3344.32,10,confirm,2026-08-30T12:00:00,false
sess_8bd88fcd57,cust_1691,cust.1691@outlook.com,smb,14540.64,5,address,2026-09-01T12:00:00,false
sess_adf75924c5,cust_8772,cust.8772@biz.co.in,retail,4960.84,1,confirm,2026-09-04T12:00:00,false
sess_ff46a6bf09,cust_3591,cust.3591@company.in,smb,27094.05,9,confirm,2026-08-30T12:00:00,false
sess_605fb1eb4c,cust_5903,cust.5903@yahoo.com,smb,26946.39,2,review,2026-08-23T12:00:00,false
sess_9adf4709ac,cust_7793,cust.7793@biz.co.in,retail,10147.01,9,confirm,2026-08-23T12:00:00,false
sess_774c0afa7f,cust_7780,cust.7780@gmail.com,smb,26336.05,6,address,2026-08-28T12:00:00,false
sess_3040413c46,cust_7521,cust.7521@gmail.com,smb,13948.15,7,review,2026-08-31T12:00:00,false
sess_38a56b49dd,cust_6572,cust.6572@yahoo.com,enterprise,26241.6,5,confirm,2026-08-23T12:00:00,false
sess_72e76b516e,cust_2610,cust.2610@biz.co.in,enterprise,17608.47,8,review,2026-08-23T12:00:00,false
sess_61ea2f30e4,cust_4783,cust.4783@company.in,retail,20683.86,6,payment_info,2026-09-03T12:00:00,false
sess_937bf79bbb,cust_7874,cust.7874@outlook.com,smb,21958.82,8,review,2026-08-31T12:00:00,false
sess_905881dfee,cust_1584,cust.1584@yahoo.com,retail,21648.22,10,payment_info,2026-09-01T12:00:00,false
sess_f0458043e3,cust_3534,cust.3534@yahoo.com,retail,13919.02,3,address,2026-09-02T12:00:00,false
sess_6a5943ce83,cust_5590,cust.5590@company.in,retail,10385.23,7,payment_info,2026-08-25T12:00:00,false
sess_6544e3136e,cust_5060,cust.5060@gmail.com,smb,17468.12,10,review,2026-09-02T12:00:00,false
sess_17d30f328d,cust_1138,cust.1138@biz.co.in,retail,12455.21,9,address,2026-09-03T12:00:00,false
sess_4eea9db8f1,cust_8353,cust.8353@company.in,enterprise,9607.52,9,confirm,2026-08-25T12:00:00,false
sess_28fea7618d,cust_6629,cust.6629@outlook.com,smb,18188.35,10,payment_info,2026-09-02T12:00:00,false
sess_95fbe976ae,cust_2382,cust.2382@company.in,enterprise,28031.47,3,payment_info,2026-08-22T12:00:00,false
sess_54ec3f338a,cust_9574,cust.9574@company.in,retail,14279.06,2,address,2026-08-25T12:00:00,false
sess_a5e15b5557,cust_6875,cust.6875@gmail.com,retail,10209.56,1,review,2026-08-24T12:00:00,false
sess_765e6cb58f,cust_7262,cust.7262@outlook.com,smb,7362.75,3,payment_info,2026-08-29T12:00:00,false
sess_8e4c3ab56d,cust_1902,cust.1902@company.in,retail,4532.16,1,review,2026-08-25T12:00:00,false
sess_13fe8a295c,cust_1136,cust.1136@biz.co.in,smb,19879.11,6,address,2026-08-22T12:00:00,false
sess_a58e83dd54,cust_6797,cust.6797@gmail.com,enterprise,16966.5,9,payment_info,2026-08-24T12:00:00,false
sess_1a7167c768,cust_4961,cust.4961@gmail.com,enterprise,10254.72,3,payment_info,2026-08-30T12:00:00,false
sess_d7b4c294bd,cust_5463,cust.5463@outlook.com,retail,29092.36,9,confirm,2026-09-02T12:00:00,false
sess_f791f1e543,cust_7745,cust.7745@biz.co.in,smb,7646.9,7,confirm,2026-08-22T12:00:00,false
sess_105291d3b3,cust_3378,cust.3378@biz.co.in,smb,2220.86,9,payment_info,2026-08-24T12:00:00,false
sess_ef4c51198d,cust_2609,cust.2609@biz.co.in,retail,21792.2,8,payment_info,2026-08-29T12:00:00,false
sess_f514105831,cust_5523,cust.5523@yahoo.com,smb,23716.48,1,address,2026-09-04T12:00:00,false
sess_31d4ee098f,cust_9821,cust.9821@outlook.com,smb,10782.25,9,payment_info,2026-08-28T12:00:00,false
sess_dd1ca26753,cust_6759,cust.6759@company.in,enterprise,8642.25,4,payment_info,2026-09-04T12:00:00,true
sess_0153922123,cust_4419,cust.4419@biz.co.in,retail,14148.16,1,confirm,2026-08-30T12:00:00,false
sess_fba57cc8ed,cust_1567,cust.1567@outlook.com,enterprise,685.81,3,review,2026-08-31T12:00:00,true
sess_df3a098acc,cust_4916,cust.4916@biz.co.in,retail,14497.53,5,address,2026-09-02T12:00:00,false
sess_409e7a8086,cust_2276,cust.2276@outlook.com,retail,17846.46,8,confirm,2026-08-30T12:00:00,false
sess_d40ac5e981,cust_8480,cust.8480@biz.co.in,enterprise,19265.64,9,confirm,2026-08-31T12:00:00,false
sess_66fadca00b,cust_2494,cust.2494@company.in,enterprise,13592.07,6,address,2026-09-03T12:00:00,false
sess_3283daa4e2,cust_1083,cust.1083@company.in,retail,1393.75,8,confirm,2026-08-24T12:00:00,false
sess_76492e64f5,cust_4763,cust.4763@yahoo.com,smb,25737.82,8,address,2026-08-22T12:00:00,false
sess_1a2bd69c45,cust_2595,cust.2595@yahoo.com,smb,18392.47,5,review,2026-08-30T12:00:00,false
sess_2314d0c809,cust_8752,cust.8752@outlook.com,retail,23173.82,9,address,2026-08-23T12:00:00,false
sess_a247541dc8,cust_7533,cust.7533@yahoo.com,smb,14392.73,9,confirm,2026-09-01T12:00:00,false
sess_8c9aa1e9b3,cust_1372,cust.1372@company.in,retail,22252.39,4,review,2026-09-01T12:00:00,false
sess_c1369c65ae,cust_1301,cust.1301@biz.co.in,enterprise,27200.0,9,confirm,2026-09-04T12:00:00,false
sess_143a9aff65,cust_8294,cust.8294@outlook.com,smb,28685.33,2,payment_info,2026-08-26T12:00:00,false
sess_86879aa914,cust_1984,cust.1984@company.in,retail,23717.82,10,review,2026-08-31T12:00:00,false
sess_a96b3c42f6,cust_4014,cust.4014@biz.co.in,smb,14320.64,3,confirm,2026-09-01T12:00:00,false
sess_0ae4ac11eb,cust_7271,cust.7271@yahoo.com,smb,13168.66,4,confirm,2026-08-25T12:00:00,false
sess_a7edc8d871,cust_9873,cust.9873@outlook.com,smb,221.45,9,review,2026-08-29T12:00:00,false
sess_cf6858780b,cust_8454,cust.8454@gmail.com,smb,11329.86,8,payment_info,2026-08-24T12:00:00,false
sess_2999bbef51,cust_1575,cust.1575@company.in,smb,25954.39,8,review,2026-08-22T12:00:00,false
sess_bf6b8cdf74,cust_5713,cust.5713@biz.co.in,smb,20875.1,2,address,2026-08-31T12:00:00,false
sess_2f383b43a1,cust_8757,cust.8757@yahoo.com,smb,632.21,7,confirm,2026-08-24T12:00:00,false
sess_9647ff9f35,cust_6821,cust.6821@yahoo.com,retail,12858.2,1,payment_info,2026-08-26T12:00:00,false
sess_3e0f84cec8,cust_1644,cust.1644@outlook.com,enterprise,5891.89,7,confirm,2026-09-03T12:00:00,false
sess_2c55aef7f4,cust_2539,cust.2539@company.in,smb,11795.86,5,payment_info,2026-08-30T12:00:00,false
sess_e39836bbe2,cust_2854,cust.2854@gmail.com,enterprise,28147.71,9,payment_info,2026-09-02T12:00:00,false
sess_01b158e904,cust_6412,cust.6412@biz.co.in,smb,14727.7,2,review,2026-08-28T12:00:00,false
sess_73d39457b2,cust_4615,cust.4615@outlook.com,smb,17635.75,1,address,2026-08-29T12:00:00,false
sess_f7eae66eca,cust_3841,cust.3841@outlook.com,retail,3798.22,3,review,2026-08-23T12:00:00,false
sess_d0c300186e,cust_9444,cust.9444@biz.co.in,smb,13194.52,2,confirm,2026-08-27T12:00:00,false
sess_33baba8836,cust_1306,cust.1306@biz.co.in,enterprise,7315.84,2,review,2026-08-25T12:00:00,false
sess_74fd33d184,cust_2702,cust.2702@yahoo.com,enterprise,4827.18,7,review,2026-08-31T12:00:00,false
sess_d4cee27c4a,cust_9570,cust.9570@gmail.com,enterprise,26131.96,9,confirm,2026-09-02T12:00:00,false
sess_f73936e954,cust_1616,cust.1616@company.in,enterprise,15096.65,2,payment_info,2026-08-25T12:00:00,false
sess_762cdfbcba,cust_1918,cust.1918@yahoo.com,enterprise,1475.87,2,review,2026-09-01T12:00:00,false
sess_d9750f00d5,cust_2311,cust.2311@company.in,enterprise,21992.54,5,payment_info,2026-08-28T12:00:00,false
sess_b88e830fde,cust_1853,cust.1853@outlook.com,retail,7231.78,7,payment_info,2026-08-30T12:00:00,true
sess_42f5b3f54e,cust_4070,cust.4070@outlook.com,smb,21216.93,6,address,2026-08-24T12:00:00,true
sess_bf337a151e,cust_9797,cust.9797@company.in,smb,23562.87,7,review,2026-08-24T12:00:00,false
sess_588a3f87f9,cust_8687,cust.8687@gmail.com,smb,10716.85,5,review,2026-08-31T12:00:00,false
sess_cb881c32cb,cust_4817,cust.4817@company.in,retail,22116.7,8,address,2026-08-25T12:00:00,true
sess_b241448251,cust_5659,cust.5659@company.in,smb,22530.18,6,payment_info,2026-09-04T12:00:00,false
sess_1bffa27915,cust_7162,cust.7162@yahoo.com,retail,26412.88,2,payment_info,2026-09-04T12:00:00,true
sess_5efeef4fd8,cust_9069,cust.9069@gmail.com,enterprise,7135.1,5,payment_info,2026-09-01T12:00:00,true
sess_3990e2c94c,cust_8786,cust.8786@outlook.com,smb,23169.75,4,payment_info,2026-09-02T12:00:00,false
sess_553d2625e8,cust_1477,cust.1477@outlook.com,retail,10049.34,6,payment_info,2026-08-25T12:00:00,false
sess_65001423fa,cust_5107,cust.5107@outlook.com,smb,21257.45,9,address,2026-08-31T12:00:00,false
sess_b23848498f,cust_7348,cust.7348@outlook.com,enterprise,20560.08,9,payment_info,2026-09-02T12:00:00,false
sess_ac09bdb799,cust_8449,cust.8449@gmail.com,smb,9857.43,3,address,2026-08-24T12:00:00,false
sess_4b9dfd589e,cust_7765,cust.7765@yahoo.com,retail,19887.89,3,confirm,2026-09-01T12:00:00,false
sess_30c36756d4,cust_1392,cust.1392@gmail.com,enterprise,23942.63,4,confirm,2026-08-23T12:00:00,false
sess_299656e24c,cust_1620,cust.1620@biz.co.in,enterprise,11183.64,10,confirm,2026-08-28T12:00:00,false
sess_24acb722e0,cust_9169,cust.9169@biz.co.in,enterprise,26504.55,4,address,2026-09-01T12:00:00,false
sess_a2224f9623,cust_1750,cust.1750@outlook.com,enterprise,19533.84,1,payment_info,2026-09-02T12:00:00,false
sess_90a3fbbf75,cust_7208,cust.7208@yahoo.com,smb,19420.68,1,review,2026-09-03T12:00:00,false
sess_302b783112,cust_1185,cust.1185@biz.co.in,enterprise,8592.48,2,payment_info,2026-08-31T12:00:00,false
sess_584fc85b26,cust_5670,cust.5670@gmail.com,smb,7691.18,10,payment_info,2026-08-23T12:00:00,false
sess_4459bd6ec0,cust_7529,cust.7529@outlook.com,enterprise,4085.18,3,confirm,2026-08-28T12:00:00,false
sess_3f5cf2f33a,cust_7481,cust.7481@company.in,enterprise,11744.46,1,address,2026-09-01T12:00:00,false
sess_8ed8a80d84,cust_9686,cust.9686@biz.co.in,enterprise,10984.66,9,address,2026-08-27T12:00:00,false
sess_6a7d5d964b,cust_8424,cust.8424@gmail.com,retail,22264.42,9,address,2026-09-02T12:00:00,false
sess_8cf6e8b87f,cust_6119,cust.6119@outlook.com,enterprise,22803.12,4,address,2026-08-30T12:00:00,false
sess_a175a9c3d7,cust_8304,cust.8304@yahoo.com,smb,10103.5,4,review,2026-08-24T12:00:00,false
sess_6b535a19a9,cust_1893,cust.1893@biz.co.in,smb,24930.83,8,payment_info,2026-09-03T12:00:00,false
sess_775c30b561,cust_6556,cust.6556@biz.co.in,enterprise,16121.34,3,confirm,2026-08-26T12:00:00,false
sess_2dea2d2d08,cust_7974,cust.7974@outlook.com,smb,15380.56,9,payment_info,2026-08-22T12:00:00,false
sess_60a399d4e8,cust_8808,cust.8808@company.in,enterprise,25414.92,8,payment_info,2026-08-24T12:00:00,false
sess_a107cc4686,cust_5454,cust.5454@biz.co.in,enterprise,22339.22,5,review,2026-08-29T12:00:00,false
sess_e134edfc97,cust_9967,cust.9967@yahoo.com,enterprise,18933.34,4,review,2026-09-04T12:00:00,false
sess_4c636e9502,cust_7145,cust.7145@biz.co.in,smb,28857.22,8,review,2026-08-29T12:00:00,true
sess_69a53b4f8f,cust_9666,cust.9666@company.in,smb,21777.41,10,address,2026-08-23T12:00:00,false
sess_35102852b4,cust_6544,cust.6544@company.in,retail,10794.43,3,address,2026-08-24T12:00:00,false
sess_8972abbdcf,cust_7060,cust.7060@biz.co.in,smb,7460.61,10,payment_info,2026-09-04T12:00:00,false
sess_6aa26216fa,cust_9767,cust.9767@biz.co.in,enterprise,27678.23,8,address,2026-08-31T12:00:00,true
sess_34323ec6b0,cust_2477,cust.2477@company.in,retail,14908.67,6,payment_info,2026-08-29T12:00:00,false
sess_25d4a0fc61,cust_2121,cust.2121@yahoo.com,retail,8829.94,8,payment_info,2026-08-26T12:00:00,false
sess_19d45deb11,cust_6299,cust.6299@biz.co.in,retail,5530.58,10,confirm,2026-08-24T12:00:00,false
sess_c92e8c93d1,cust_6886,cust.6886@company.in,retail,26579.38,8,confirm,2026-08-24T12:00:00,false
sess_c11f6bf537,cust_7292,cust.7292@gmail.com,smb,16600.31,1,payment_info,2026-08-23T12:00:00,false
sess_ee0f65a82a,cust_5597,cust.5597@yahoo.com,retail,25579.21,8,payment_info,2026-08-29T12:00:00,false
sess_257f7595cd,cust_9029,cust.9029@outlook.com,enterprise,5761.48,6,payment_info,2026-08-30T12:00:00,false
sess_ba370623bc,cust_3393,cust.3393@gmail.com,smb,23314.46,2,address,2026-08-27T12:00:00,false
sess_f10bce9c58,cust_5889,cust.5889@company.in,retail,1661.13,7,review,2026-09-02T12:00:00,false
sess_22ab7752c4,cust_2749,cust.2749@company.in,retail,980.71,10,payment_info,2026-08-26T12:00:00,false
sess_af70de702b,cust_2816,cust.2816@company.in,smb,8978.14,2,payment_info,2026-08-25T12:00:00,false
sess_bc20b9f24a,cust_6571,cust.6571@company.in,smb,22861.5,5,address,2026-08-25T12:00:00,false
sess_0f25477da5,cust_4784,cust.4784@gmail.com,retail,5954.96,4,confirm,2026-08-26T12:00:00,false
sess_0c6b7074ab,cust_2410,cust.2410@gmail.com,smb,5533.69,10,confirm,2026-08-26T12:00:00,false
sess_9aba0f15b2,cust_9537,cust.9537@yahoo.com,enterprise,21803.93,6,review,2026-08-27T12:00:00,false
sess_95492a82b7,cust_7445,cust.7445@company.in,retail,10534.04,6,payment_info,2026-08-30T12:00:00,false
sess_3514589084,cust_4148,cust.4148@biz.co.in,smb,24881.91,2,review,2026-08-23T12:00:00,false
sess_67ce378fe5,cust_7266,cust.7266@company.in,smb,15826.62,6,address,2026-08-27T12:00:00,false
sess_4499d0a615,cust_6653,cust.6653@yahoo.com,enterprise,8078.99,2,address,2026-09-04T12:00:00,false
sess_8d55119e3d,cust_4412,cust.4412@outlook.com,smb,2173.15,3,review,2026-08-31T12:00:00,false
sess_59077299dc,cust_7694,cust.7694@gmail.com,smb,28515.9,4,address,2026-08-24T12:00:00,false
